UnitID,Institution Name,year,Post-covid,Control of institution (HD2023),Carnegie Classification 2025: Institutional Classification (HD2024),Carnegie Classification 2025: Research Activity Designation (HD2024),Carnegie Classification 2025: Institutional Size (HD2024),State abbreviation (HD2022),Full-time retention rate,Percent Admitted,Admission yield,Graduation rate total cohort,Graduation rate - within 4 years total,Total 12-month unduplicated headcount,Instruction expenses per FTE,School Type,expense_group,treat,Post_2017,year_rel
144883,East-West University,2018,0,2,5,NA,2,IL,33,NA,NA,10,6,525,7373,SLA,Low Expenses,0,1,1
144883,East-West University,2019,0,2,5,NA,2,IL,30,NA,NA,11,10,NA,7954,SLA,Low Expenses,0,1,2
144883,East-West University,2020,0,2,5,NA,2,IL,31,NA,NA,18,13,562,7927,SLA,Low Expenses,0,1,3
145497,Hebrew Theological College,2014,0,2,31,NA,1,IL,23,97,90,6,5,562,7838,SLA,Low Expenses,0,0,-3
145497,Hebrew Theological College,2015,0,2,31,NA,1,IL,22,92,59,14,11,633,9495,SLA,Low Expenses,0,0,-2
145497,Hebrew Theological College,2016,0,2,31,NA,1,IL,39,95,41,5,4,450,8367,SLA,Low Expenses,0,0,-1
145497,Hebrew Theological College,2017,0,2,31,NA,1,IL,94,93,85,7,2,243,15253,SLA,High Expenses,0,0,0
145497,Hebrew Theological College,2018,0,2,31,NA,1,IL,88,100,100,5,3,206,21095,SLA,High Expenses,0,1,1
145497,Hebrew Theological College,2019,0,2,31,NA,1,IL,89,83,80,4,4,NA,10957,SLA,Medium Expenses,0,1,2
145497,Hebrew Theological College,2020,0,2,31,NA,1,IL,86,80,100,7,5,256,11775,SLA,Medium Expenses,0,1,3
145600,University of Illinois Chicago,2014,0,1,6,1,4,IL,80,77,29,60,33,31123,26053,LRI,High Expenses,1,0,-3
145600,University of Illinois Chicago,2015,0,1,6,1,4,IL,81,74,25,60,34,31848,26783,LRI,High Expenses,1,0,-2
145600,University of Illinois Chicago,2016,0,1,6,1,4,IL,80,77,28,58,31,31879,27351,LRI,High Expenses,1,0,-1
145600,University of Illinois Chicago,2017,0,1,6,1,4,IL,80,76,26,57,30,33386,30165,LRI,High Expenses,1,0,0
145600,University of Illinois Chicago,2018,0,1,6,1,4,IL,80,73,27,59,34,34529,30009,LRI,High Expenses,1,1,1
145600,University of Illinois Chicago,2019,0,1,6,1,4,IL,79,73,21,61,34,NA,26515,LRI,High Expenses,1,1,2
145600,University of Illinois Chicago,2020,0,1,6,1,4,IL,82,79,23,63,37,35210,27494,LRI,High Expenses,1,1,3
145637,University of Illinois Urbana-Champaign,2014,0,1,6,1,5,IL,93,66,34,84,69,48576,13924,LRI,Medium Expenses,1,0,-3
145637,University of Illinois Urbana-Champaign,2015,0,1,6,1,5,IL,93,60,33,85,71,49094,14212,LRI,High Expenses,1,0,-2
145637,University of Illinois Urbana-Champaign,2016,0,1,6,1,5,IL,94,62,31,85,70,50885,14520,LRI,High Expenses,1,0,-1
145637,University of Illinois Urbana-Champaign,2017,0,1,6,1,5,IL,92,62,31,85,70,52986,14734,LRI,High Expenses,1,0,0
145637,University of Illinois Urbana-Champaign,2018,0,1,6,1,5,IL,93,59,30,84,70,54985,15242,LRI,High Expenses,1,1,1
145637,University of Illinois Urbana-Champaign,2019,0,1,6,1,5,IL,93,63,27,85,70,NA,14527,LRI,High Expenses,1,1,2
145637,University of Illinois Urbana-Champaign,2020,0,1,6,1,5,IL,94,60,29,86,72,57324,15154,LRI,High Expenses,1,1,3
145646,Illinois Wesleyan University,2014,0,2,5,NA,2,IL,92,62,19,81,75,1921,16167,SLA,High Expenses,0,0,-3
145646,Illinois Wesleyan University,2015,0,2,5,NA,2,IL,93,58,19,83,78,1857,17242,SLA,High Expenses,0,0,-2
145646,Illinois Wesleyan University,2016,0,2,5,NA,2,IL,93,61,17,81,74,1791,17443,SLA,High Expenses,0,0,-1
145646,Illinois Wesleyan University,2017,0,2,5,NA,2,IL,89,59,22,78,71,1674,19068,SLA,High Expenses,0,0,0
145646,Illinois Wesleyan University,2018,0,2,5,NA,2,IL,91,61,18,79,75,1712,20570,SLA,High Expenses,0,1,1
145646,Illinois Wesleyan University,2019,0,2,5,NA,2,IL,84,57,20,77,72,NA,20378,SLA,High Expenses,0,1,2
145646,Illinois Wesleyan University,2020,0,2,5,NA,2,IL,87,45,21,82,78,1643,20211,SLA,High Expenses,0,1,3
145691,Illinois College,2014,0,2,5,NA,2,IL,76,61,16,75,66,990,9587,SLA,Low Expenses,0,0,-3
145691,Illinois College,2015,0,2,5,NA,2,IL,79,54,12,71,62,982,10111,SLA,Medium Expenses,0,0,-2
145691,Illinois College,2016,0,2,5,NA,2,IL,78,55,11,68,60,990,10322,SLA,Medium Expenses,0,0,-1
145691,Illinois College,2017,0,2,5,NA,2,IL,77,76,11,60,55,978,9440,SLA,Low Expenses,0,0,0
145691,Illinois College,2018,0,2,5,NA,2,IL,77,78,11,70,65,1013,9673,SLA,Low Expenses,0,1,1
145691,Illinois College,2019,0,2,5,NA,2,IL,78,75,10,63,59,NA,8773,SLA,Low Expenses,0,1,2
145691,Illinois College,2020,0,2,5,NA,2,IL,75,75,9,68,63,1115,7862,SLA,Low Expenses,0,1,3
145813,Illinois State University,2014,0,1,19,2,4,IL,81,88,34,72,46,22932,9858,LRI,Low Expenses,1,0,-3
145813,Illinois State University,2015,0,1,19,2,4,IL,82,89,34,73,48,22987,10008,LRI,Medium Expenses,1,0,-2
145813,Illinois State University,2016,0,1,19,2,4,IL,81,89,32,72,48,23330,10217,LRI,Medium Expenses,1,0,-1
145813,Illinois State University,2017,0,1,19,2,4,IL,81,89,32,69,47,22948,15761,LRI,High Expenses,1,0,0
145813,Illinois State University,2018,0,1,19,2,4,IL,79,82,29,69,47,22907,13679,LRI,Medium Expenses,1,1,1
145813,Illinois State University,2019,0,1,19,2,4,IL,79,81,27,70,50,NA,8201,LRI,Low Expenses,1,1,2
145813,Illinois State University,2020,0,1,19,2,4,IL,84,92,31,68,50,23141,7980,LRI,Low Expenses,1,1,3
146427,Knox College,2014,0,2,22,NA,2,IL,88,64,18,80,73,1435,12518,SLA,Medium Expenses,0,0,-3
146427,Knox College,2015,0,2,22,NA,2,IL,83,65,15,77,69,1398,12717,SLA,Medium Expenses,0,0,-2
146427,Knox College,2016,0,2,22,NA,2,IL,87,72,15,77,69,1376,13222,SLA,Medium Expenses,0,0,-1
146427,Knox College,2017,0,2,22,NA,2,IL,87,74,17,76,72,1396,14036,SLA,Medium Expenses,0,0,0
146427,Knox College,2018,0,2,22,NA,2,IL,81,68,14,75,68,1359,14660,SLA,High Expenses,0,1,1
146427,Knox College,2019,0,2,22,NA,2,IL,81,71,12,74,64,NA,14213,SLA,High Expenses,0,1,2
146427,Knox College,2020,0,2,22,NA,2,IL,82,70,13,71,61,1290,14104,SLA,Medium Expenses,0,1,3
146481,Lake Forest College,2014,0,2,22,NA,2,IL,85,55,19,73,64,1698,10279,SLA,Medium Expenses,0,0,-3
146481,Lake Forest College,2015,0,2,22,NA,2,IL,84,57,15,72,66,1628,10462,SLA,Medium Expenses,0,0,-2
146481,Lake Forest College,2016,0,2,22,NA,2,IL,83,53,16,70,64,1696,10798,SLA,Medium Expenses,0,0,-1
146481,Lake Forest College,2017,0,2,22,NA,2,IL,85,58,16,72,66,1699,10230,SLA,Medium Expenses,0,0,0
146481,Lake Forest College,2018,0,2,22,NA,2,IL,83,55,14,69,61,1657,11078,SLA,Medium Expenses,0,1,1
146481,Lake Forest College,2019,0,2,22,NA,2,IL,88,58,15,77,71,NA,12420,SLA,Medium Expenses,0,1,2
146481,Lake Forest College,2020,0,2,22,NA,2,IL,84,64,15,75,69,1723,11242,SLA,Medium Expenses,0,1,3
147244,Millikin University,2014,0,2,15,NA,2,IL,82,60,20,61,51,2407,8907,SLA,Low Expenses,0,0,-3
147244,Millikin University,2015,0,2,15,NA,2,IL,73,64,19,60,48,2357,8805,SLA,Low Expenses,0,0,-2
147244,Millikin University,2016,0,2,15,NA,2,IL,72,65,21,60,49,2258,9570,SLA,Low Expenses,0,0,-1
147244,Millikin University,2017,0,2,15,NA,2,IL,76,61,17,61,48,2236,10026,SLA,Medium Expenses,0,0,0
147244,Millikin University,2018,0,2,15,NA,2,IL,78,71,19,58,47,2227,10738,SLA,Medium Expenses,0,1,1
147244,Millikin University,2019,0,2,15,NA,2,IL,75,71,18,59,51,NA,10869,SLA,Medium Expenses,0,1,2
147244,Millikin University,2020,0,2,15,NA,2,IL,70,75,18,53,44,2333,10507,SLA,Medium Expenses,0,1,3
147341,Monmouth College,2014,0,2,5,NA,2,IL,74,62,16,56,48,1330,10582,SLA,Medium Expenses,0,0,-3
147341,Monmouth College,2015,0,2,5,NA,2,IL,74,52,17,58,48,1231,11075,SLA,Medium Expenses,0,0,-2
147341,Monmouth College,2016,0,2,5,NA,2,IL,73,67,17,56,47,1205,12257,SLA,Medium Expenses,0,0,-1
147341,Monmouth College,2017,0,2,5,NA,2,IL,72,69,18,60,51,1047,12721,SLA,Medium Expenses,0,0,0
147341,Monmouth College,2018,0,2,5,NA,2,IL,73,67,16,57,46,931,13964,SLA,Medium Expenses,0,1,1
147341,Monmouth College,2019,0,2,5,NA,2,IL,79,69,13,62,54,NA,15889,SLA,High Expenses,0,1,2
147341,Monmouth College,2020,0,2,5,NA,2,IL,74,66,11,58,54,926,14804,SLA,High Expenses,0,1,3
147767,Northwestern University,2014,0,2,6,1,4,IL,97,13,48,93,85,25327,37339,LRI,High Expenses,1,0,-3
147767,Northwestern University,2015,0,2,6,1,4,IL,97,11,53,93,82,25359,39808,LRI,High Expenses,1,0,-2
147767,Northwestern University,2016,0,2,6,1,4,IL,98,9,55,94,84,25233,42218,LRI,High Expenses,1,0,-1
147767,Northwestern University,2017,0,2,6,1,4,IL,98,8,56,94,84,25464,44763,LRI,High Expenses,1,0,0
147767,Northwestern University,2018,0,2,6,1,4,IL,97,9,55,95,84,25614,40111,LRI,High Expenses,1,1,1
147767,Northwestern University,2019,0,2,6,1,4,IL,98,9,52,94,84,NA,41227,LRI,High Expenses,1,1,2
147767,Northwestern University,2020,0,2,6,1,4,IL,97,7,63,95,85,25870,39868,LRI,High Expenses,1,1,3
148016,Principia College,2014,0,2,22,NA,1,IL,90,75,66,88,76,518,21358,SLA,High Expenses,0,0,-3
148016,Principia College,2015,0,2,22,NA,1,IL,88,91,76,80,71,489,22035,SLA,High Expenses,0,0,-2
148016,Principia College,2016,0,2,22,NA,1,IL,91,91,70,68,61,501,23878,SLA,High Expenses,0,0,-1
148016,Principia College,2017,0,2,22,NA,1,IL,88,92,73,84,71,481,24387,SLA,High Expenses,0,0,0
148016,Principia College,2018,0,2,22,NA,1,IL,88,91,69,75,61,470,27514,SLA,High Expenses,0,1,1
148016,Principia College,2019,0,2,22,NA,1,IL,94,93,70,80,62,NA,27055,SLA,High Expenses,0,1,2
148016,Principia College,2020,0,2,22,NA,1,IL,86,84,68,75,60,425,32470,SLA,High Expenses,0,1,3
148405,Rockford University,2014,0,2,20,NA,2,IL,64,54,14,45,27,2109,6256,SLA,Low Expenses,0,0,-3
148405,Rockford University,2015,0,2,20,NA,2,IL,65,54,10,42,25,1967,6180,SLA,Low Expenses,0,0,-2
148405,Rockford University,2016,0,2,20,NA,2,IL,66,47,14,49,32,1973,6807,SLA,Low Expenses,0,0,-1
148405,Rockford University,2017,0,2,20,NA,2,IL,66,49,12,41,39,1671,6688,SLA,Low Expenses,0,0,0
148405,Rockford University,2018,0,2,20,NA,2,IL,66,54,12,38,20,1776,7071,SLA,Low Expenses,0,1,1
148405,Rockford University,2019,0,2,20,NA,2,IL,66,51,21,41,26,NA,6139,SLA,Low Expenses,0,1,2
148405,Rockford University,2020,0,2,20,NA,2,IL,66,67,18,46,31,1597,7022,SLA,Low Expenses,0,1,3
149781,Wheaton College,2014,0,2,22,NA,2,IL,93,71,44,89,80,3181,13157,SLA,Medium Expenses,0,0,-3
149781,Wheaton College,2015,0,2,22,NA,2,IL,95,79,40,89,81,3173,13369,SLA,Medium Expenses,0,0,-2
149781,Wheaton College,2016,0,2,22,NA,2,IL,95,85,40,91,82,3215,13814,SLA,Medium Expenses,0,0,-1
149781,Wheaton College,2017,0,2,22,NA,2,IL,93,83,40,89,80,3242,14458,SLA,High Expenses,0,0,0
149781,Wheaton College,2018,0,2,22,NA,2,IL,92,85,38,87,77,3279,15993,SLA,High Expenses,0,1,1
149781,Wheaton College,2019,0,2,22,NA,2,IL,93,87,31,89,82,NA,15111,SLA,High Expenses,0,1,2
149781,Wheaton College,2020,0,2,22,NA,2,IL,90,86,32,88,79,3416,15763,SLA,High Expenses,0,1,3
150136,Ball State University,2014,0,1,16,2,4,IN,81,61,26,59,37,23130,10219,LRI,Medium Expenses,1,0,-3
150136,Ball State University,2015,0,1,16,2,4,IN,82,62,25,60,41,25500,9488,LRI,Low Expenses,1,0,-2
150136,Ball State University,2016,0,1,16,2,4,IN,81,62,27,58,45,26419,10954,LRI,Medium Expenses,1,0,-1
150136,Ball State University,2017,0,1,16,2,4,IN,78,65,24,62,48,27369,10886,LRI,Medium Expenses,1,0,0
150136,Ball State University,2018,0,1,16,2,4,IN,78,77,23,63,47,25199,9540,LRI,Low Expenses,1,1,1
150136,Ball State University,2019,0,1,16,2,4,IN,75,87,20,67,53,NA,11373,LRI,Medium Expenses,1,1,2
150136,Ball State University,2020,0,1,16,2,4,IN,80,68,21,67,54,25247,10341,LRI,Medium Expenses,1,1,3
150400,DePauw University,2014,0,2,22,NA,2,IN,93,65,18,80,75,2247,18608,SLA,High Expenses,0,0,-3
150400,DePauw University,2015,0,2,22,NA,2,IN,94,65,18,82,76,2285,20377,SLA,High Expenses,0,0,-2
150400,DePauw University,2016,0,2,22,NA,2,IN,92,67,17,85,78,2253,20756,SLA,High Expenses,0,0,-1
150400,DePauw University,2017,0,2,22,NA,2,IN,89,63,16,81,76,2185,22155,SLA,High Expenses,0,0,0
150400,DePauw University,2018,0,2,22,NA,2,IN,91,64,13,85,81,2175,21661,SLA,High Expenses,0,1,1
150400,DePauw University,2019,0,2,22,NA,2,IN,86,68,10,84,80,NA,20827,SLA,High Expenses,0,1,2
150400,DePauw University,2020,0,2,22,NA,2,IN,89,65,14,87,85,1998,21772,SLA,High Expenses,0,1,3
150455,Earlham College,2014,0,2,22,NA,2,IN,84,62,16,72,65,1139,21481,SLA,High Expenses,0,0,-3
150455,Earlham College,2015,0,2,22,NA,2,IN,81,58,21,67,60,1108,23813,SLA,High Expenses,0,0,-2
150455,Earlham College,2016,0,2,22,NA,2,IN,80,52,20,71,65,1166,25840,SLA,High Expenses,0,0,-1
150455,Earlham College,2017,0,2,22,NA,2,IN,86,65,20,68,58,1180,24475,SLA,High Expenses,0,0,0
150455,Earlham College,2018,0,2,22,NA,2,IN,82,63,13,64,58,1152,23555,SLA,High Expenses,0,1,1
150455,Earlham College,2019,0,2,22,NA,2,IN,80,59,11,64,56,NA,25592,SLA,High Expenses,0,1,2
150455,Earlham College,2020,0,2,22,NA,2,IN,83,69,15,67,61,1044,26519,SLA,High Expenses,0,1,3
150604,Franklin College,2014,0,2,5,NA,2,IN,79,70,21,61,54,1109,9207,SLA,Low Expenses,0,0,-3
150604,Franklin College,2015,0,2,5,NA,2,IN,80,78,21,60,55,1138,9157,SLA,Low Expenses,0,0,-2
150604,Franklin College,2016,0,2,5,NA,2,IN,74,78,19,66,60,1052,8539,SLA,Low Expenses,0,0,-1
150604,Franklin College,2017,0,2,5,NA,2,IN,75,75,19,62,56,1061,9372,SLA,Low Expenses,0,0,0
150604,Franklin College,2018,0,2,5,NA,2,IN,76,81,18,61,56,1023,9123,SLA,Low Expenses,0,1,1
150604,Franklin College,2019,0,2,5,NA,2,IN,74,76,19,65,60,NA,9915,SLA,Medium Expenses,0,1,2
150604,Franklin College,2020,0,2,5,NA,2,IN,79,95,17,63,58,1011,10214,SLA,Medium Expenses,0,1,3
150668,Goshen College,2014,0,2,5,NA,2,IN,77,66,34,72,55,934,11031,SLA,Medium Expenses,0,0,-3
150668,Goshen College,2015,0,2,5,NA,2,IN,78,62,30,66,53,908,12018,SLA,Medium Expenses,0,0,-2
150668,Goshen College,2016,0,2,5,NA,2,IN,82,64,28,68,56,996,11573,SLA,Medium Expenses,0,0,-1
150668,Goshen College,2017,0,2,5,NA,2,IN,78,66,24,72,62,1050,11548,SLA,Medium Expenses,0,0,0
150668,Goshen College,2018,0,2,5,NA,2,IN,73,63,19,68,55,1017,9844,SLA,Low Expenses,0,1,1
150668,Goshen College,2019,0,2,5,NA,2,IN,76,92,22,65,52,NA,9697,SLA,Low Expenses,0,1,2
150668,Goshen College,2020,0,2,5,NA,2,IN,76,93,20,63,57,950,10020,SLA,Medium Expenses,0,1,3
150756,Hanover College,2014,0,2,22,NA,2,IN,82,61,15,69,66,1161,11611,SLA,Medium Expenses,0,0,-3
150756,Hanover College,2015,0,2,22,NA,2,IN,82,57,15,67,65,1142,14118,SLA,High Expenses,0,0,-2
150756,Hanover College,2016,0,2,22,NA,2,IN,82,84,15,71,67,1103,13125,SLA,Medium Expenses,0,0,-1
150756,Hanover College,2017,0,2,22,NA,2,IN,79,79,14,71,69,1113,13880,SLA,Medium Expenses,0,0,0
150756,Hanover College,2018,0,2,22,NA,2,IN,75,65,14,72,69,1114,12291,SLA,Medium Expenses,0,1,1
150756,Hanover College,2019,0,2,22,NA,2,IN,79,69,15,69,67,NA,12998,SLA,Medium Expenses,0,1,2
150756,Hanover College,2020,0,2,22,NA,2,IN,84,73,15,72,71,1083,13556,SLA,Medium Expenses,0,1,3
150774,Holy Cross College,2014,0,2,22,NA,1,IN,62,91,24,32,20,554,5319,SLA,Low Expenses,0,0,-3
150774,Holy Cross College,2015,0,2,22,NA,1,IN,53,91,33,27,14,607,5497,SLA,Low Expenses,0,0,-2
150774,Holy Cross College,2016,0,2,22,NA,1,IN,60,74,15,41,38,640,5471,SLA,Low Expenses,0,0,-1
150774,Holy Cross College,2017,0,2,22,NA,1,IN,45,88,34,40,38,591,5286,SLA,Low Expenses,0,0,0
150774,Holy Cross College,2018,0,2,22,NA,1,IN,40,94,38,39,35,497,4242,SLA,Low Expenses,0,1,1
150774,Holy Cross College,2019,0,2,22,NA,1,IN,34,77,40,51,36,NA,5507,SLA,Low Expenses,0,1,2
150774,Holy Cross College,2020,0,2,22,NA,1,IN,68,86,40,55,36,449,6253,SLA,Low Expenses,0,1,3
151111,Indiana University-Indianapolis,2014,0,1,16,1,4,IN,71,70,42,43,18,36357,15469,LRI,High Expenses,1,0,-3
151111,Indiana University-Indianapolis,2015,0,1,16,1,4,IN,74,74,41,44,19,35441,15134,LRI,High Expenses,1,0,-2
151111,Indiana University-Indianapolis,2016,0,1,16,1,4,IN,74,80,46,46,19,34984,15938,LRI,High Expenses,1,0,-1
151111,Indiana University-Indianapolis,2017,0,1,16,1,4,IN,75,81,38,45,21,34699,16407,LRI,High Expenses,1,0,0
151111,Indiana University-Indianapolis,2018,0,1,16,1,4,IN,72,81,35,47,24,34279,17106,LRI,High Expenses,1,1,1
151111,Indiana University-Indianapolis,2019,0,1,16,1,4,IN,73,79,30,50,28,NA,18609,LRI,High Expenses,1,1,2
151111,Indiana University-Indianapolis,2020,0,1,16,1,4,IN,75,84,28,52,33,33900,18926,LRI,High Expenses,1,1,3
151351,Indiana University-Bloomington,2014,0,1,16,1,5,IN,89,78,29,78,59,50989,13730,LRI,Medium Expenses,1,0,-3
151351,Indiana University-Bloomington,2015,0,1,16,1,5,IN,89,79,28,77,60,52694,13820,LRI,Medium Expenses,1,0,-2
151351,Indiana University-Bloomington,2016,0,1,16,1,5,IN,91,76,25,76,60,53254,14412,LRI,High Expenses,1,0,-1
151351,Indiana University-Bloomington,2017,0,1,16,1,5,IN,91,77,24,77,63,46723,14714,LRI,High Expenses,1,0,0
151351,Indiana University-Bloomington,2018,0,1,16,1,5,IN,91,78,25,78,64,46423,15378,LRI,High Expenses,1,1,1
151351,Indiana University-Bloomington,2019,0,1,16,1,5,IN,90,80,22,79,67,NA,16191,LRI,High Expenses,1,1,2
151351,Indiana University-Bloomington,2020,0,1,16,1,5,IN,91,85,24,80,69,46441,16549,LRI,High Expenses,1,1,3
151810,Martin University,2014,0,2,15,NA,1,IN,39,NA,NA,8,0,524,5801,SLA,Low Expenses,0,0,-3
151810,Martin University,2015,0,2,15,NA,1,IN,60,NA,NA,8,3,458,5150,SLA,Low Expenses,0,0,-2
151810,Martin University,2016,0,2,15,NA,1,IN,75,NA,NA,5,2,491,3103,SLA,Low Expenses,0,0,-1
151810,Martin University,2017,0,2,15,NA,1,IN,57,NA,NA,6,0,470,3743,SLA,Low Expenses,0,0,0
151810,Martin University,2018,0,2,15,NA,1,IN,53,NA,NA,4,0,412,4460,SLA,Low Expenses,0,1,1
151810,Martin University,2019,0,2,15,NA,1,IN,38,NA,NA,9,0,NA,4291,SLA,Low Expenses,0,1,2
151810,Martin University,2020,0,2,15,NA,1,IN,20,NA,NA,10,10,359,4378,SLA,Low Expenses,0,1,3
152390,Saint Mary's College,2014,0,2,22,NA,2,IN,89,80,30,81,78,1664,14546,SLA,High Expenses,0,0,-3
152390,Saint Mary's College,2015,0,2,22,NA,2,IN,90,82,30,79,75,1724,14176,SLA,High Expenses,0,0,-2
152390,Saint Mary's College,2016,0,2,22,NA,2,IN,86,78,25,77,71,1767,13801,SLA,Medium Expenses,0,0,-1
152390,Saint Mary's College,2017,0,2,22,NA,2,IN,84,82,26,79,73,1714,13920,SLA,Medium Expenses,0,0,0
152390,Saint Mary's College,2018,0,2,22,NA,2,IN,85,81,23,78,73,1718,16404,SLA,High Expenses,0,1,1
152390,Saint Mary's College,2019,0,2,22,NA,2,IN,82,82,20,79,72,NA,13725,SLA,Medium Expenses,0,1,2
152390,Saint Mary's College,2020,0,2,22,NA,2,IN,85,83,19,81,78,1657,14633,SLA,High Expenses,0,1,3
152673,Wabash College,2014,0,2,22,NA,2,IN,89,61,31,73,68,931,15009,SLA,High Expenses,0,0,-3
152673,Wabash College,2015,0,2,22,NA,2,IN,85,63,27,73,70,873,15671,SLA,High Expenses,0,0,-2
152673,Wabash College,2016,0,2,22,NA,2,IN,92,63,28,72,64,848,16959,SLA,High Expenses,0,0,-1
152673,Wabash College,2017,0,2,22,NA,2,IN,87,65,32,77,72,871,16900,SLA,High Expenses,0,0,0
152673,Wabash College,2018,0,2,22,NA,2,IN,86,64,27,71,66,887,16724,SLA,High Expenses,0,1,1
152673,Wabash College,2019,0,2,22,NA,2,IN,91,63,25,74,71,NA,17559,SLA,High Expenses,0,1,2
152673,Wabash College,2020,0,2,22,NA,2,IN,84,62,21,75,72,871,17625,SLA,High Expenses,0,1,3
153108,Central College,2014,0,2,5,NA,2,IA,78,64,16,68,63,1723,13075,SLA,Medium Expenses,0,0,-3
153108,Central College,2015,0,2,5,NA,2,IA,78,73,11,67,60,1521,12958,SLA,Medium Expenses,0,0,-2
153108,Central College,2016,0,2,5,NA,2,IA,79,70,11,65,58,1433,14016,SLA,Medium Expenses,0,0,-1
153108,Central College,2017,0,2,5,NA,2,IA,81,70,14,69,65,1435,13678,SLA,Medium Expenses,0,0,0
153108,Central College,2018,0,2,5,NA,2,IA,79,65,19,72,68,1323,13534,SLA,Medium Expenses,0,1,1
153108,Central College,2019,0,2,5,NA,2,IA,82,64,22,67,62,NA,14825,SLA,High Expenses,0,1,2
153108,Central College,2020,0,2,5,NA,2,IA,73,75,21,68,63,1463,13930,SLA,Medium Expenses,0,1,3
